# Time-averaged data for fix 2
# TimeStep v_time c_thermo_temp c_thermo_press v_sysvol v_sysdensity v_cella v_cellb v_cellc v_etotal v_pe v_ke v_evdwl v_coulomb v_sxx v_syy v_szz v_syz v_sxz v_sxy v_xhi v_yhi v_zhi v_xlo v_ylo v_zlo
78000 77501 306.172 -141.933 34877.1 0.305102 21.9896 21.9896 72.1283 1763.35 942.884 820.463 103.29 0 164.405 190.791 70.603 23.1621 -31.1889 37.6671 21.9896 21.9896 1135.54 0 0 1063.42
79000 78501 305.396 -133.414 33363.1 0.318948 21.9896 21.9896 68.9972 1749.56 931.178 818.385 96.3436 0 163.215 190.448 46.5798 -22.2488 -3.8568 10.6111 21.9896 21.9896 1133.98 0 0 1064.98
80000 79501 305.815 -41.8572 31914.8 0.333422 21.9896 21.9896 66.002 1741.2 921.694 819.508 90.0954 0 64.3351 67.0606 -5.82421 22.8439 10.1507 24.4364 21.9896 21.9896 1132.48 0 0 1066.48
81000 80501 303.106 -164.178 30529.3 0.348552 21.9896 21.9896 63.1369 1723.74 911.489 812.248 81.9562 0 202.47 164.989 125.074 -59.4183 22.0913 -71.1747 21.9896 21.9896 1131.05 0 0 1067.91
82000 81501 307.986 -87.1307 29204.1 0.36437 21.9896 21.9896 60.3961 1748.61 923.287 825.326 79.5949 0 109.45 194.843 -42.9011 93.1458 -47.8906 -2.82306 21.9896 21.9896 1129.68 0 0 1069.28
83000 82501 303.812 -166.158 27936.3 0.380905 21.9896 21.9896 57.7743 1723.25 909.114 814.14 76.8626 0 161.463 171.481 165.528 10.4852 24.3787 -4.6759 21.9896 21.9896 1128.37 0 0 1070.59
84000 83501 306.208 -150.544 26723.6 0.39819 21.9896 21.9896 55.2663 1716.14 895.581 820.56 67.4817 0 143.84 180.413 127.379 -4.45554 108.433 -35.6567 21.9896 21.9896 1127.11 0 0 1071.85
85000 84501 311.471 -130.598 25563.5 0.41626 21.9896 21.9896 52.8672 1736.6 901.939 834.664 59.7084 0 227.243 49.918 114.633 -18.4011 0.592034 3.49562 21.9896 21.9896 1125.91 0 0 1073.05
86000 85501 304.968 -226.005 24453.8 0.43515 21.9896 21.9896 50.5722 1698.93 881.695 817.236 55.7627 0 189.384 256.727 231.904 10.6782 20.1733 24.9543 21.9896 21.9896 1124.77 0 0 1074.19
87000 86501 306.333 -194.185 23392.3 0.454897 21.9896 21.9896 48.3769 1697.11 876.216 820.895 46.1868 0 301.233 255.91 25.4113 -3.59403 81.9125 -56.4391 21.9896 21.9896 1123.67 0 0 1075.29
88000 87501 307.179 -116.337 22376.8 0.47554 21.9896 21.9896 46.2768 1696.49 873.328 823.162 41.0844 0 216.632 86.0065 46.3737 24.197 48.5457 -6.02138 21.9896 21.9896 1122.62 0 0 1076.34
89000 88501 303.852 -72.5744 21405.4 0.49712 21.9896 21.9896 44.268 1668.57 854.327 814.247 29.7611 0 152.979 184.347 -119.603 -30.5613 -33.6086 -49.9845 21.9896 21.9896 1121.61 0 0 1077.35
90000 89501 304.497 -191.833 20476.2 0.51968 21.9896 21.9896 42.3463 1679.96 863.98 815.975 34.5754 0 110.847 325.492 139.159 -88.6441 -20.3695 -5.21257 21.9896 21.9896 1120.65 0 0 1078.31
91000 90501 306.865 -158.905 19587.3 0.543263 21.9896 21.9896 40.508 1678.07 855.752 822.322 24.251 0 110.991 217.352 148.372 3.79956 19.5819 -25.1974 21.9896 21.9896 1119.73 0 0 1079.23
92000 91501 303.835 -155.574 18737.1 0.567916 21.9896 21.9896 38.7496 1662.84 848.644 814.201 22.0331 0 93.6776 395.596 -22.5518 -52.9604 -119.752 -46.0781 21.9896 21.9896 1118.85 0 0 1080.1
93000 92501 302.915 -171.888 17923.7 0.593688 21.9896 21.9896 37.0675 1647.31 835.578 811.735 14.0297 0 143.927 415.788 -44.051 -113.681 -127.385 -62.9563 21.9896 21.9896 1118.01 0 0 1080.95
94000 93501 305.817 -191.571 17145.6 0.620629 21.9896 21.9896 35.4584 1672.28 852.767 819.512 18.6141 0 85.0531 466.679 22.981 20.9698 -87.5187 32.6758 21.9896 21.9896 1117.21 0 0 1081.75
95000 94501 306.32 -328.289 16401.3 0.648794 21.9896 21.9896 33.9191 1656.57 835.71 820.859 5.08948 0 139.865 688.635 156.368 5.12069 -35.0218 -77.7793 21.9896 21.9896 1116.44 0 0 1082.52
96000 95501 302.452 -295.02 15689.3 0.678236 21.9896 21.9896 32.4467 1632.73 822.234 810.495 2.91705 0 194.6 568.708 121.752 5.8483 -25.3518 -9.79948 21.9896 21.9896 1115.7 0 0 1083.26
97000 96501 306.901 -173.653 15008.3 0.709014 21.9896 21.9896 31.0382 1643.95 821.532 822.418 -7.17199 0 103.599 425.814 -8.45483 7.90532 -43.134 -52.9732 21.9896 21.9896 1115 0 0 1083.96
98000 97501 304.428 -162.926 14356.8 0.741189 21.9896 21.9896 29.6908 1621.39 805.602 815.791 -12.9916 0 111.723 467.164 -90.1085 -29.3591 -154.164 0.504641 21.9896 21.9896 1114.33 0 0 1084.63
99000 98501 308.766 77.1977 13733.5 0.774824 21.9896 21.9896 28.4019 1616.85 789.438 827.414 -30.4227 0 -126.056 193.422 -298.959 19.1585 -92.3516 48.5827 21.9896 21.9896 1113.68 0 0 1085.28
100000 99501 305.165 10.0188 13137.4 0.809986 21.9896 21.9896 27.169 1592.73 774.963 817.764 -38.5204 0 259.808 41.4228 -331.287 8.54177 191.864 -171.192 21.9896 21.9896 1113.06 0 0 1085.9
